Waze,
(188;210;216),#bcd2d8
(255;76;89),#ff4c59
(65;103;111),#41676f
(255;178;58),#ffb23a
(33;183;84),#21b754
(0;172;196),#00acc4
Google Maps,
(226;226;226),#e2e2e2
(255;149;0),#ff9500
(174;236;160),#aeeca0
(141;211;255),#8dd3ff
(117;118;120),#757678
(239;104;0),#ef6800
(60;60;60),#3c3c3c
(29;111;252),#1d6ffc
(251;11;29),#fb0b1d
(255;173;0),#ffad00
(255;90;0),#ff5a00
City mapper,
(0;163;0),#00a300
(100;100;100),#646464
(33;119;213),#2177d5
(37;96;132),#256084
(250;158;0),#fa9e00
(0;55;125),#00377d
Route4U,
(48;33;174),#3021ae
(0;200;160),#00c8a0
(255;217;18),#ffd912
(255;144;62),#ff903e
(255;0;104),#ff0068
(49;123;209),#317bd1
Wheelmap,
(84;174;23),#54ae17
(90;80;75),#5a504b
(111;198;28),#6fc61c
(255;133;13),#ff850d
(175;187;55),#afbb37
(65;84;124),#41547c
(14;84;225),#0e54e1
